brand,brandId,model,modelId
1955 CUSTOM BELAIR,12948,1955 Custom Belair,34020
A & O,13972,Scout,37413
A & O,13972,Patton,37414
AAS,1288,Trophy Edition,4613
AAS,1288,Sport Edition,4614
AAS,1288,Performance Edition,4615
AAS,1288,Race Edition,4616
AAS,1288,Euro Edition,4617
AAS,1288,Gt Malan,4618
AC PROPULSION,771,eBox,3937
AC PROPULSION,771,tZero,3938
ACURA,475,ZDX,1867
ACURA,475,RDX,1871
ACURA,475,RL,1872
ACURA,475,TL,1873
ACURA,475,TSX,1874
ACURA,475,MDX,2147
ACURA,475,RLX,2149
ACURA,475,ILX,2150
ACURA,475,RSX,3183
ACURA,475,Integra,5063
ACURA,475,CL,5145
ACURA,475,NSX,5168
ACURA,475,Legend,5339
ACURA,475,TLX,5354
ACURA,475,SLX,6004
ACURA,475,Vigor,11495
ACURA,475,ADX,35664
ALFA ROMEO,493,4C,2035
ALFA ROMEO,493,8C Competizione Spider,2344
ALFA ROMEO,493,164,9953
ALFA ROMEO,493,Giulia (952),10326
ALFA ROMEO,493,Spider,14326
ALFA ROMEO,493,Milano,14328
ALFA ROMEO,493,GTV6,14330
ALFA ROMEO,493,Stelvio,18005
ALFA ROMEO,493,Tonale,31666
ALKANE,6493,Class 7 Cab Over Truck,17807
ALLARD MOTOR WORKS,11792,J2X,30467
ALLIANZ SWEEPER COMPANY,1470,Vanguard,4807
AM GENERAL,606,MV-1,3667
AMD,4709,Ranger X,9977
AMD,4709,F350A,26567
AMERICAN LAFRANCE,1979,Eagle,5525
AMERICAN LAFRANCE,1979,Metropolitan,5526
AMERICAN LAFRANCE,1979,Eagle Mid Engine,5527
AMERICAN LAFRANCE,1979,Liberty,5528
AMERICAN LAFRANCE,1979,American LaFrance Condor,5529
AMERICAN LAFRANCE,1979,Freightliner Condor,5530
AMERICAN LAFRANCE,1979,Sterling Condor,5531
AMERICAN LAFRANCE,1979,Loadstar,5539
AMERICAN LAFRANCE,1979,Pioneer,5540
AMERICAN LAFRANCE,1979,Condor Crew Cab,5541
AMERICAN LAFRANCE,1979,Protector,5542
AMERICAN LAFRANCE,1979,Golan,5543
AMERICAN LAFRANCE,1979,Argus,5544
AMERICAN LAFRANCE,1979,Beast,5545
AMERICAN LAFRANCE,1979,Alpha,5546
AMERICAN LAFRANCE,1979,Sentron,5569
AMERICAN LAFRANCE,1979,Trailer,5575
AMERICAN MOTORS,1124,Eagle,17403
AMERICAN MOTORS,1124,Eagle SX/4,17404
AMERICAN MOTORS,1124,Concord,17406
AMERICAN MOTORS,1124,Spirit,17407
AMERICAN TRUCK COMPANY,8853,Crew Cab,22957
AMERICAN TRUCK COMPANY,8853,Extended Cab,26584
AMERICAN TRUCK COMPANY,8853,Standard Cab,26585
AMERITECH CORPORATION,6759,F1,18177
AMPHI-RANGER,6081,AMPHI-RANGER,16108
ARMBRUSTER STAGEWAY,5367,Cadillac Funeral Car,13765
ARMBRUSTER STAGEWAY,5367,Cadillac First Call,13766
ARMBRUSTER STAGEWAY,5367,Cadillac Limousine,13767
ARMBRUSTER STAGEWAY,5367,Cadillac Ski Cruiser,13768
ARMBRUSTER STAGEWAY,5367,Buick Funeral Car,13769
ARMBRUSTER STAGEWAY,5367,Buick First Call,13770
ARMBRUSTER STAGEWAY,5367,Buick Limousine,13771
ARMBRUSTER STAGEWAY,5367,Buick Ski Cruiser,13772
ARMBRUSTER STAGEWAY,5367,Mercedes Limousine,13775
ARMBRUSTER STAGEWAY,5367,Mercedes Ski Cruiser,13778
ARMBRUSTER STAGEWAY,5367,Mercedes Funeral Car,13779
ARMBRUSTER STAGEWAY,5367,Mercedes First Call,13780
ARMBRUSTER STAGEWAY,5367,Lincoln Ski Cruiser,13781
ARMBRUSTER STAGEWAY,5367,Lincoln Funeral Car,13782
ARMBRUSTER STAGEWAY,5367,Lincoln First Call,13783
ARMBRUSTER STAGEWAY,5367,Lincoln Limousine,13784
ASTON MARTIN,440,V8 Vantage,1684
ASTON MARTIN,440,DBS,1686
ASTON MARTIN,440,DB9,1687
ASTON MARTIN,440,Rapide,1688
ASTON MARTIN,440,V12 Vantage,1695
ASTON MARTIN,440,Virage,1697
ASTON MARTIN,440,Vanquish,1701
